no.,receiving_date,location,harvesting_date,mass_g,volume_ml,yield_of_juice_ml,polyphenols_content_mg,polyphenols_concentration_mggae/ml,length,width,location_ElJahliye,location_Hasbaya,location_Rachiine,day_time_diff,n_days,maturity,humidity,solar_radiation,air_temperature,degree_brix,ta_av,mi,Cluster,polyphenols_category
512.0,2023-11-08,Hasbaya,2023-11-07,243.38,240.0,70.0,377.1376812,5.387681159,64.775,77.49,False,True,False,0.1481481481481481,1,True,42.62,138.0,20.22,17.2,1.728,9.9537037037037,2,moderate
513.0,2023-11-08,Hasbaya,2023-11-07,366.48,360.0,120.0,524.7826087,4.373188406,75.92,86.39,False,True,False,0.1481481481481481,1,True,42.62,138.0,20.22,17.1,1.92,8.90625,2,high
514.0,2023-11-08,Hasbaya,2023-11-07,257.33,250.0,81.0,444.326087,5.485507246,72.03,76.66,False,True,False,0.1481481481481481,1,False,42.62,138.0,20.22,17.4,11.456,1.51885474860335,2,high
515.0,2023-11-08,Hasbaya,2023-11-07,408.25,400.0,134.0,609.7971014,4.550724638,75.13,87.29,False,True,False,0.1481481481481481,1,False,42.62,138.0,20.22,16.2,2.06933333333333,7.82860824742269,0,high
516.0,2023-11-08,Hasbaya,2023-11-07,176.36,170.0,51.0,247.2391304,4.847826087,55.63,66.88,False,True,False,0.1481481481481481,1,True,42.62,138.0,20.22,17.0,1.57866666666667,10.7685810810811,2,moderate
517.0,2023-11-08,Hasbaya,2023-11-07,266.09,260.0,77.0,355.1485507,4.612318841,66.765,76.53,False,True,False,0.1481481481481481,1,True,42.62,138.0,20.22,15.6,1.472,10.5978260869565,2,moderate
518.0,2023-11-08,Hasbaya,2023-11-07,361.53,350.0,126.0,845.9347826,6.713768116,73.045,88.79,False,True,False,0.1481481481481481,1,False,42.62,138.0,20.22,17.2,2.41066666666667,7.13495575221238,2,high
519.0,2023-11-08,Hasbaya,2023-11-07,216.89,210.0,40.0,199.8550725,4.996376812,58.945,74.23,False,True,False,0.1481481481481481,1,True,42.62,138.0,20.22,15.0,1.792,8.37053571428571,2,low
520.0,2023-11-08,Hasbaya,2023-11-07,159.55,150.0,46.0,271.0,5.891304348,54.71,65.03,False,True,False,0.1481481481481481,1,True,42.62,138.0,20.22,17.0,1.92,8.85416666666667,2,moderate
521.0,2023-11-08,Hasbaya,2023-11-07,114.16,100.0,32.0,112.115942,3.503623188,46.005,59.71,False,True,False,0.1481481481481481,1,False,42.62,138.0,20.22,17.4,2.85866666666667,6.08675373134328,2,low
522.0,2023-11-08,Hasbaya,2023-11-07,103.05,90.0,34.0,98.18115942,2.887681159,42.855,57.68,False,True,False,0.1481481481481481,1,False,42.62,138.0,20.22,16.0,2.304,6.94444444444444,2,low
523.0,2023-11-09,ElJahliye,2023-11-09,163.9,160.0,41.0,161.326087,3.934782609,48.47,68.11,True,False,False,0.2222222222222222,0,True,63.82,82.0,17.72,16.0,1.87733333333333,8.52272727272729,1,low
524.0,2023-11-09,ElJahliye,2023-11-09,204.68,200.0,60.0,282.826087,4.713768116,62.21,76.98,True,False,False,0.2222222222222222,0,False,63.82,82.0,17.72,14.0,2.048,6.8359375,1,moderate
