no.,receiving_date,location,harvesting_date,mass_g,volume_ml,yield_of_juice_ml,polyphenols_content_mg,polyphenols_concentration_mggae/ml,length,width,location_ElJahliye,location_Hasbaya,location_Rachiine,day_time_diff,n_days,maturity,humidity,solar_radiation,air_temperature,degree_brix,ta_av,mi,Cluster,polyphenols_category,mean_R,mean_G,mean_B,mean_intensity,variance_intensity,skewness_intensity,kurtosis_intensity,median_intensity,mode_intensity,mean_a,mean_b,mean_L,mean_intensity_lab,variance_intensity_lab,skewness_intensity_lab,kurtosis_intensity_lab,median_intensity_lab,mode_intensity_lab
31.0,2023-09-08,ElJahliye,2023-09-07,143.94,140.0,48.0,88.7453416,1.848861284,50.505,57.6,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,12.6,1.856,6.78879310344828,1,low,165.2116,125.73892,117.08714,0.0,978.9885024138222,19557.39552435421,2607177.6125090416,127.0,128.0,165.2116,125.73892,117.08714,0.0,978.9885024138222,19557.39552435421,2607177.6125090416,127.0,128.0
32.0,2023-09-08,ElJahliye,2023-09-07,203.39,190.0,70.0,136.231884,1.946169772,59.815,80.78,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,13.0,1.792,7.25446428571429,1,low,163.0367,118.70506,117.47916,0.0,785.6748704837332,25813.93826827406,2157484.645427679,125.0,128.0,163.0367,118.70506,117.47916,0.0,785.6748704837332,25813.93826827406,2157484.645427679,125.0,128.0
33.0,2023-09-08,ElJahliye,2023-09-07,151.04,140.0,54.0,133.6024845,2.474120083,54.36,63.47,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,13.6,2.24,6.07142857142857,1,low,151.17696,115.28904,123.71772,0.0,741.5583563290668,26809.285829104556,2143675.144710786,125.0,126.0,151.17696,115.28904,123.71772,0.0,741.5583563290668,26809.285829104556,2143675.144710786,125.0,126.0
34.0,2023-09-08,ElJahliye,2023-09-07,156.5,150.0,52.0,110.244306,2.120082816,55.585,64.54,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,14.0,2.016,6.94444444444444,1,low,166.24884,125.14346,117.71704,0.0,1032.5840027515999,25340.746759687852,2826187.679964068,128.0,125.0,166.24884,125.14346,117.71704,0.0,1032.5840027515999,25340.746759687852,2826187.679964068,128.0,125.0
35.0,2023-09-08,ElJahliye,2023-09-07,101.91,100.0,32.0,66.5838509,2.080745342,50.53,57.72,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,13.9,3.84,3.61979166666667,1,low,169.49812,122.00688,126.70528,0.0,793.8209935912887,17923.652095612324,1547211.0902523613,128.0,126.0,169.49812,122.00688,126.70528,0.0,793.8209935912887,17923.652095612324,1547211.0902523613,128.0,126.0
36.0,2023-09-08,ElJahliye,2023-09-07,137.94,130.0,44.0,60.2153209,1.368530021,53.16,62.33,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,11.2,2.144,5.22388059701493,1,low,164.5552,120.04218,116.76798,0.0,787.0183680078223,27341.63313754058,2056502.1968440437,125.0,125.0,164.5552,120.04218,116.76798,0.0,787.0183680078223,27341.63313754058,2056502.1968440437,125.0,125.0
37.0,2023-09-08,ElJahliye,2023-09-07,151.84,140.0,49.0,80.4492754,1.641821946,53.065,64.54,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,12.5,1.728,7.2337962962963,1,low,169.71378,120.96086,118.96524,0.0,864.8907726206222,28130.095814023975,2246519.0993444743,126.0,125.0,169.71378,120.96086,118.96524,0.0,864.8907726206222,28130.095814023975,2246519.0993444743,126.0,125.0
38.0,2023-09-08,ElJahliye,2023-09-07,109.34,110.0,35.0,51.2318841,1.463768116,48.46,59.31,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,13.0,2.464,5.27597402597403,1,low,142.74548,128.37816,109.46292,0.0,1204.6570874851554,20395.341390338283,5366773.525639481,126.0,125.0,142.74548,128.37816,109.46292,0.0,1204.6570874851554,20395.341390338283,5366773.525639481,126.0,125.0
39.0,2023-09-08,ElJahliye,2023-09-07,87.67,90.0,32.0,55.320911,1.728778468,45.365,54.33,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,12.6,2.464,5.11363636363636,1,low,170.84286,122.90458,117.95236,0.0,935.405213328889,27056.02660556115,2438532.6017087665,126.0,128.0,170.84286,122.90458,117.95236,0.0,935.405213328889,27056.02660556115,2438532.6017087665,126.0,128.0
40.0,2023-09-08,ElJahliye,2023-09-07,81.41,80.0,20.0,31.5942029,1.579710145,44.5,48.08,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,13.0,3.616,3.59513274336283,1,low,169.09356,120.22046,124.94812,0.0,886.8718780689331,25811.08047871362,2061349.6341584485,127.0,128.0,169.09356,120.22046,124.94812,0.0,886.8718780689331,25811.08047871362,2061349.6341584485,127.0,128.0
